"","player_api_id","overall_rating","player_name","matches_played","leagues_played","gk"
"1",505942,67,"Aaron Appindangoye",8,1,43
"2",155782,74,"Aaron Cresswell",75,1,51
"3",162549,65,"Aaron Doran",104,1,61
"4",30572,69,"Aaron Galindo",10,1,63
"5",23780,70,"Aaron Hughes",162,1,53
"6",27316,77,"Aaron Hunt",158,1,65
"7",564793,61,"Aaron Kuhl",5,1,64
"8",30895,77,"Aaron Lennon",181,1,55
"9",528212,48,"Aaron Lennox",1,1,237
"10",101042,69,"Aaron Meijers",167,1,54
"11",23889,68,"Aaron Mokoena",30,1,51
"12",231592,75,"Aaron Mooy",10,1,54
"13",163222,62,"Aaron Muirhead",21,1,38
"14",40719,70,"Aaron Niguez",27,2,61
"15",75489,82,"Aaron Ramsey",133,1,40
"16",597948,55,"Aaron Splaine",2,1,55
"17",161644,64,"Aaron Taylor-Sinclair",36,1,49
"18",23499,65,"Aaron Wilbraham",3,1,54
"19",120919,75,"Aatif Chahechouhe",1,1,50
"20",46447,64,"Abasse Ba",16,1,64
"21",167027,74,"Abdelaziz Barrada",75,2,47
"22",245653,64,"Abdelfettah Boukhriss",1,1,51
"23",128456,73,"Abdelhamid El Kaoutari",144,2,47
"24",42664,67,"Abdelkader Ghezzal",90,2,40
"25",425950,59,"Abdellah Zoubir",3,1,62
"26",38423,68,"Abdelmajid Oulmers",32,1,129
"27",3264,62,"Abdelmalek Cherrad",1,1,49
"28",467485,63,"Abdelmalek El Hasnaoui",5,1,52
"29",306735,56,"Abdelouahed Chakhsi",74,1,46
"30",41659,63,"Abderrazak Jadid",29,2,59
"31",31684,73,"Abdeslam Ouaddou",43,1,145
"32",32637,61,"Abdessalam Benjelloun",11,2,102
"33",563215,66,"Abdou Diallo",28,2,41
"34",41093,70,"Abdou Traore",59,1,57
"35",564712,64,"Abdoul Ba",4,1,60
"36",67334,72,"Abdoul Karim Yoda",54,2,58
"37",173955,72,"Abdoul Razzagui Camara",45,1,68
"38",39562,75,"Abdoulay Konko",137,2,62
"39",191784,73,"Abdoulaye Ba",58,2,65
"40",210400,69,"Abdoulaye Bamba",21,1,50
"41",201915,73,"Abdoulaye Diaby",37,1,50
"42",194479,73,"Abdoulaye Diallo Sadio,22",41,1,57
"43",189181,69,"Abdoulaye Diallo",9,1,341
"44",352887,73,"Abdoulaye Doucoure",71,2,68
"45",40005,67,"Abdoulaye Faye",81,1,55
"46",409003,60,"Abdoulaye Keita",3,1,54
"47",37280,65,"Abdoulaye Meite",53,2,54
"48",439366,64,"Abdoulaye Toure",2,1,48
"49",148827,69,"Abdoulwahid Sissoko",50,2,49
"50",173011,63,"Abdourahman Dampha",24,1,45
"51",419681,67,"Abdul Aziz Tetteh",19,1,60
"52",196947,72,"Abdul Majeed Waris",36,1,15
"53",89405,66,"Abdul Osman",66,1,51
"54",324910,77,"Abdul Rahman Baba",58,2,50
"55",67952,64,"Abdul-Yakinu Iddi",48,1,49
"56",31012,82,"Abdulkader Keita",13,1,43
"57",176301,57,"Abdulla Fatadi",8,1,60
"58",307227,63,"Abdullah Al Hafith",5,1,54
"59",176302,62,"Abdullah Omar",52,1,55
"60",525595,71,"Abdullahi Shehu",26,1,65
"61",24385,73,"Abel Aguilar",134,3,55
"62",29904,70,"Abel Gomez",40,1,51
"63",105548,73,"Abel Hernandez",57,2,43
"64",172875,69,"Abel Issa Camara",33,1,45
"65",302985,61,"Abel Khaled",3,1,63
"66",240556,68,"Abel Tamata",47,1,40
"67",40938,73,"Abel",35,1,42
"68",37422,71,"Abella Perez Damia",127,1,65
"69",114503,67,"Abiola Dauda",22,2,63
"70",27277,75,"Abou Diaby",67,2,54
"71",181344,62,"Aboubacar Tandia",4,1,39
"72",581141,61,"Aboubakar Kamara",3,1,50
"73",80592,65,"Aboubakar Oumarou",18,1,50
"74",165706,73,"Abraham Gonzalez",42,1,45
"75",210453,68,"Abraham Guie Gneki",14,2,44
"76",208635,65,"Abraham Kudemor",20,1,56
"77",213695,71,"Abraham Minero",66,1,51
"78",33715,66,"Abraham Paz Cruz",29,1,48
"79",41489,61,"Achille Coser",2,1,300
"80",25571,76,"Achille Emana",32,1,59
"81",660145,61,"Achille Vaarnold",1,1,47
"82",45960,67,"Achmed Ahahaoui",53,1,41
"83",293235,73,"Achraf Lazaar",53,1,53
"84",34487,59,"Aco Stojkov",23,1,119
"85",26331,67,"Adailton",75,1,61
"86",41749,73,"Adailton",37,1,141
"87",495841,72,"Adalberto Penaranda",21,1,47
"88",519835,67,"Adam Armstrong",1,1,55
"89",68840,63,"Adam Banas",99,1,45
"90",27534,69,"Adam Bodzek",29,1,59
"91",157303,73,"Adam Bogdan",25,1,363
"92",563198,52,"Adam Brown",1,1,57
"93",557396,62,"Adam Buksa",4,1,50
"94",365666,59,"Adam Campbell",7,1,58
"95",180197,66,"Adam Collin",3,1,323
"96",310346,59,"Adam Cummins",19,1,45
"97",68962,66,"Adam Danch",143,1,56
"98",429870,62,"Adam Deja",46,1,56
